,地址,余额,占比,交易笔数
1,0x00000000219ab540356cbb839cbe05303d7705fa,10699810000068996820260046,0.10992120372639706,187165
2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6520557378186581888066020,0.06698693864402143,6743087
3,0xda9dfa130df4de4673b89022ee50ff26f6ea73cf,2113030001000000000644804,0.02170756314536541,0
4,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,1996008312321584840480008,0.02050537685593184,1075
5,0x73bceb1cd57c711feac4224d062b0f6ff338501e,1975004575109494086884882,0.020289601428415745,475
6,0x9bf4001d307dfd62b26a2f1307ee0c0307632d59,1490000018092709220882646,0.015307056437455231,104
7,0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f,1116538277342432000226008,0.01147041222706632,54
8,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,1047491760450575684646244,0.010761084094153781,271027
9,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,989498953581339844824004,0.010165312847888868,334
10,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,711283237011087124262882,0.007307149342106327,31459
11,0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,657334142696969868086068,0.006752919931778626,46
12,0xdee6238780f98c0ca2c2c28453149bea49a3abc9,600000019208538004680444,0.006163915466427775,17
13,0x742d35cc6634c0532925a3b844bc454e4438f44e,574121487207374264224684,0.005898060335521556,14874
14,0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000000065000184446802,0.0057529875851562145,187
15,0x07ee55aa48bb72dcc6e9d78256648910de513eca,518241111484627126862062,0.005323990500254567,948
16,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,500020760463680986662264,0.005136809333810772,106
17,0xe853c56864a2ebe4576a807d26fdc4a0ada51919,465197595932569442686462,0.004779064274524909,222
18,0xe92d1a43df510f82c66382592a047d288f85226f,450000050085726326644662,0.004622936966361369,80
19,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,423585271904665044866262,0.004351572875428044,0
20,0xdc76cd25977e0a5ae17155770273ad58648900d3,399999436060478006240428,0.004109271052604131,783
21,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,378734055065521364800466,0.003890807708240913,15008
22,0xa7efae728d2936e78bda97dc267687568dd593f3,372707875724483446622888,0.003828899610150035,1267114
23,0xf977814e90da44bfa03b6295a0616a897441acec,361740676525008000422664,0.003716231465808617,0
24,0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,353618436783144404866268,0.003632790136535081,877
25,0xa929022c9107643515f5c777ce9a910f0d1e490c,328143504672486528480226,0.003371081264841686,17193
26,0x220866b1a2219f40e72f5c628b65d54268ca3a9d,325001913565280128466604,0.003338807095850083,78
27,0xca8fa8f0b631ecdb18cda619c4fc9d197c8affca,325000480017070382802602,0.003338792368733918,71
28,0x176f3dab24a159341c0509bb36b833e7fdd0a132,316646626422233380802866,0.003252971625852255,106
29,0x3bfc20f0b9afcace800d73d2191166ff16540258,306276635361399926480664,0.0031464387154518415,170
30,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,275867278591129802802046,0.002834037551252478,0
31,0x8103683202aa8da10536036edef04cdd865c225e,275000027420000000046022,0.002825128113359366,31
32,0x0a4c79ce84202b03e95b7a692e5d728d83c44c76,254248453916939968824222,0.0026119432120706087,34
33,0xbcd96ad89c077ec5b7057b24d6de05e92d09ff1d,251417480945205962886282,0.0025828600828591655,8
34,0x2b6ed29a95753c3ad948348e3e7b1a251080ffb9,250000017045971360606862,0.0025682982039060276,37
35,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,240625152282666400602228,0.002471988417138971,2250088
36,0x7d24796f7ddb17d73e8b1d0a3bbd103fba2cb2fe,240012480945205962886402,0.002465694326785789,62
37,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,234401166573660320644282,0.0024080482162283537,3802572
38,0xe88f81ee08f16d555872ebb41b0afb908193ef5e,230174494345478442622400,0.0023646268004204386,25
39,0xbddf00563c9abd25b576017f08c46982012f12be,229690316614000042608604,0.0023596527495670797,232
40,0x189b9cbd4aff470af2c0102f365fc1823d857965,225257408706506806268020,0.002314112635004599,1182
41,0x3c97042b5fa4ae3523498ef0dbacd0a909423b52,224457946411420480204022,0.002305899605258352,3
42,0xbf78f70c3dcbe7b1e237a2fffd90ae11e782300c,224429764973759924608802,0.002305610091935184,3
43,0x9845e1909dca337944a0272f1f9f7249833d2d19,220001248273491520242622,0.002260115089088141,31
44,0x59448fe20378357f206880c58068f095ae63d5a5,215368755601819968884400,0.0022125246018999977,28
45,0x0548f59fee79f8832c299e01dca5c76f034f558e,207655941749227446284860,0.002133289383443863,8046
46,0x66f820a414680b5bcda5eeca5dea238543f42054,206099706195006004688484,0.002117301876618907,182
47,0x1bc2a9f370a404830abd2eae3fab995bb711b8b2,201388916723148244860606,0.0020689070313604486,12
48,0x558553d54183a8542f7832742e7b4ba9c33aa1e6,200000663246999968604228,0.0020546452366954414,49
49,0x98ec059dc3adfbdd63429454aeb0c990fba4a128,200000107035971328044804,0.0020546395226326876,37
50,0x1ffedd7837bcbc53f91ad4004263deb8e9107540,200000000400000000008622,0.002054638427140868,56
51,0x73263803def2ac8b1f8a42fac6539f5841f4e673,200000000000000000000004,0.0020546384230315912,57
52,0x40f0d6fb7c9ddd9cbc1c02a208380c08cf77189b,199580321715139008862440,0.002050326987384654,85
53,0x6047a74d635262fb73ebce6c12bb6b14b3da70b4,198861935888021524006404,0.0020429468717698697,53
54,0x78b96178e7ae1ff9adc5d8609e000811657993c8,197655830372492884242642,0.0020305563180976925,61
55,0xd65bd7f995bcc3bdb2ea2f8ff7554a61d1bf6e53,197570955254713408260608,0.002029684379706947,79
56,0x1a71b118ac6c9086f43bcf2bb6ada3393be82a5c,197318216038669440086804,0.002027087941185493,54
57,0xfc39f0dc7a1c5d5cd1cdf3b460d5fa99a56abf65,197262329569349686824006,0.0020265138087495332,52
58,0xd44023d2710dd7bef797a074ecec4fc74fdd52b2,197208193673412800808228,0.002025957660290247,55
59,0x7712bdab7c9559ec64a1f7097f36bc805f51ff1a,196919689735135968484446,0.0020229938039063497,84
60,0xdadef3f5000cf46bbec37388c0ba9f4f53ad3f27,196398664229384768246026,0.0020176412087888704,4
61,0x024861e9f89d44d00a7ada4aa89fe03cab9387cd,196021971858480842220088,0.00201377137569426,57
62,0x75a954be37034b7fbbc82316f09eac47f6335e0e,194519117989653686800884,0.00199833226917879,6
63,0xcdbf58a9a9b54a2c43800c50c7192946de858321,192000094530000000080020,0.001972453857235178,70
64,0x19184ab45c40c2920b0e0e31413b9434abd243ed,191967086710376288466408,0.0019721147615628814,280
65,0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,188297684275697600848224,0.0019344182854035986,80
66,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,187656666474159926202028,0.001927832986379166,13985
67,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,187068195590000042608246,0.0019217875119320147,30
68,0xb8808f9e9b88497ec522304055cd537a0913f6a0,185852593721977408240228,0.0019092994004062734,43
69,0xf774da4418c6dca3051f0e7570829b24214e730b,185675438191751008460288,0.0019074794476099948,144
70,0xae719cfd73f2a438d5e83612e6d8b6f062c0a751,182710471561372244824042,0.0018770197758010813,4
71,0xa160cdab225685da1d56aa342ad8841c3b53f291,181800000000000000000066,0.0018676663265357165,8383
72,0xdc1487e092caba080c6badafaa75a58ce7a2ec34,178271621582122442286488,0.0018314186171938833,220
73,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,178034309896321642408002,0.0018289806686544797,486
74,0x36a85757645e8e8aec062a1dee289c7d615901ca,177328307659680000060006,0.0018217277720437286,26
75,0xd69b0089d9ca950640f5dc9931a41a5965f00303,175500048166409066446028,0.001802945711032995,96
76,0x70a3506b3ab2ca44ce461d702ec91d6b1ade643c,172546752416204640444264,0.0017726059364182654,4
77,0xf274483d5bb6e2522afea3949728f870ba32bb9c,172290568144430026282622,0.001769974106177443,19
78,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,172038067196753866848068,0.0017673801154327062,80
79,0x74cfb89a4b0b0c774f39aaddf80f882518acf047,171309315465134666824244,0.0017598935088895284,4
80,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,169031993519583946228080,0.0017364981430348205,43
81,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,168453135929748288884808,0.0017305514278071214,132305
82,0x95cae6ec900d019265127f03c941bba668038834,168188443054284682028264,0.0017278321870459704,4
83,0xcc98164e4b9c8efdeb20c1a2625ef941cd02dc08,166421344799964704680446,0.0017096784471929808,4
84,0x28c6c06298d514db089934071355e5743bf21d60,164822722622045120866640,0.0016932554944396607,5718839
85,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,163400000000000000000048,0.00167863959161681,41
86,0xab07d12942d29cc2c4debf7051038dfedb5f6e19,159245374486154240002826,0.0016359583255465355,12
87,0x3ba25081d3935fcc6788e6220abcace39d58d95d,157738105878661066280068,0.0016204738655726115,68
88,0xae93ec389ae6fa1c788ed2e1d222460bb6d0177b,150001000000000000000404,0.0015409890904658084,6
89,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,150000100000000042684446,0.0015409798445929054,30
90,0x367989c660881e1ca693730f7126fe0ffc0963fb,150000001000000000004224,0.0015409788275468855,5
91,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,150000001000000000004224,0.0015409788275468855,5
92,0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000001000000000004224,0.0015409788275468855,5
93,0x7145cfedcf479bede20c0a4ba1868c93507d5786,150000000000000000000004,0.0015409788172736933,40
94,0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,150000000000000000000004,0.0015409788172736933,25
95,0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,150000000000000000000004,0.0015409788172736933,4
96,0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,150000000000000000000004,0.0015409788172736933,6
97,0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,150000000000000000000004,0.0015409788172736933,4
98,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000000000000000000004,0.0015409788172736933,4
99,0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,150000000000000000000004,0.0015409788172736933,6
100,0xe35b0ef92452c353dbb93775e0df97cedf873c72,150000000000000000000004,0.0015409788172736933,4
101,0x828103b231b39fffce028562412b3c04a4640e64,150000000000000000000004,0.0015409788172736933,5
102,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,150000000000000000000004,0.0015409788172736933,4
103,0x8b83b9c4683aa4ec897c569010f09c6d04608163,150000000000000000000004,0.0015409788172736933,4
104,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,150000000000000000000004,0.0015409788172736933,4
105,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000000000000000000004,0.0015409788172736933,4
106,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,150000000000000000000004,0.0015409788172736933,4
107,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,150000000000000000000004,0.0015409788172736933,4
108,0x554f4476825293d4ad20e02b54aca13956acc40a,150000000000000000000004,0.0015409788172736933,4
109,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,150000000000000000000004,0.0015409788172736933,4
110,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,150000000000000000000004,0.0015409788172736933,4
111,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000000000000000000004,0.0015409788172736933,5
112,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000000000000000000004,0.0015409788172736933,4
113,0xca582d9655a50e6512045740deb0de3a7ee5281f,150000000000000000000004,0.0015409788172736933,4
114,0x19d599012788b991ff542f31208bab21ea38403e,150000000000000000000004,0.0015409788172736933,4
115,0x77afe94859163abf0b90725d69e904ea91446c7b,150000000000000000000004,0.0015409788172736933,4
116,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,150000000000000000000004,0.0015409788172736933,4
117,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,150000000000000000000004,0.0015409788172736933,4
118,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000000000000000000004,0.0015409788172736933,4
119,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000000000000000000004,0.0015409788172736933,4
120,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000000000000000000004,0.0015409788172736933,4
121,0x701c484bfb40ac628afa487b6082f084b14af0bd,150000000000000000000004,0.0015409788172736933,31
122,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,150000000000000000000004,0.0015409788172736933,4
123,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000000000000000000004,0.0015409788172736933,4
124,0xb20411c403687d1036e05c8a7310a0f218429503,150000000000000000000004,0.0015409788172736933,4
125,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000000000000000000004,0.0015409788172736933,37
126,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,150000000000000000000004,0.0015409788172736933,6
127,0x78605df79524164911c144801f41e9811b7db73d,149955658473120426660208,0.00154052328824938,45
128,0x2fa9f9efc767650aace0422668444c3ff63e1f8d,148531712314039264424200,0.001525894815795498,13
129,0xddeb7f30944b4efb72576100fe4ac493e97e3af7,148275147745860000600062,0.0015232590786966498,14
130,0xd57479b8287666b44978255f1677e412d454d4f0,147699424503407146688806,0.0015173445632217701,4
131,0x2a70ec105e8e49c3d0885c9164fec3e9096c5f7b,145363420456889344002040,0.0014933463448701062,5
132,0xbe2a51c30a49a944a8f42812413d5f8d783a2990,145363416771299424404808,0.001493346307007333,4
133,0x6569a39c644256ee9b647c13f2cb6afd4b50a947,145179053998774304684020,0.0014914523128262993,29
134,0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000098382740000688860,0.0014896138674026923,7
135,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,144180438876620042068206,0.0014811933478273065,170054
136,0xfca0ea01ab1f9aaf69ec3aa4926b588aefb1a6cd,143997134960298064820484,0.00147931023147947,11
137,0x4721c534f046015764678f3c381016c0b4e0cf5f,140327674960298064820204,0.0014416131639405827,2
138,0xf7860edbe57e1ce33a86cdbfa485cab61286ccb2,139799155581562208440660,0.0014361835828262451,4
139,0xd6216fc19db775df9774a6e33526131da7d19a2c,139609570454836304828202,0.0014342359383972133,5703
140,0x3262f13a39efaca789ae58390441c9ed76bc658a,138498043152000000002822,0.0014228170048739327,21
141,0x8a993fe29b411d1b247ae9fa0ab9046cec2bf731,138131752701955968028424,0.0014190540327106828,10
142,0xa8545cfffc8af7059dc200e371ada8932366145f,137832568144449642404082,0.0014159804522735318,4
143,0xfa923a35ac776c1c4f807fa30e0fe62643f26134,135854984795250026466846,0.0013956643586034664,6
144,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283676786007786482842,0.0013897952016675927,280
145,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,131283028661993648224828,0.001348695774904449,12217
146,0x8d95842b0bca501446683be598e12f1c616770c1,130000000000000000000006,0.001335514974970534,47
147,0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,129979992446706000880088,0.0013353094335317908,12
148,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,129793403096616202062804,0.0013333925652916757,62
149,0x4399f61795d3e50096e236a6d31ab24470c99fd5,129025423559999968420666,0.0013255029639715073,217
